CALIB_AIRSPEED,TRUE_AIRSPEED,VERTICAL_SPEED,ALTITUDE,AOA_LEFT,AOA_RIGHT,MAGNETIC_HEADING,AUTOPILOT_ENGAGED,AUTOTHROTTLE_ENGAGED,IN_AIR
192.5,201.25,640.0,1539.0,8.0,8.09,-69.7,0.0,1.0,1.0
193.62,202.5,608.0,1551.0,8.48,8.48,-67.06,0.0,1.0,1.0
194.62,203.5,608.0,1566.0,8.57,8.75,-64.6,0.0,1.0,1.0
195.5,204.5,616.0,1577.0,7.95,8.09,-62.05,0.0,1.0,1.0
196.5,205.75,632.0,1587.0,8.09,8.26,-59.5,0.0,1.0,1.0
197.88,207.0,624.0,1602.0,8.13,8.22,-56.95,0.0,1.0,1.0
198.88,208.0,608.0,1614.0,7.73,7.78,-54.58,0.0,1.0,1.0
199.75,209.25,568.0,1626.0,7.47,7.51,-52.29,0.0,1.0,1.0
201.38,211.0,552.0,1639.0,7.25,7.29,-50.27,0.0,1.0,1.0
202.88,212.5,576.0,1650.0,6.77,6.9,-48.6,0.0,1.0,1.0
204.0,213.75,640.0,1660.0,6.55,6.64,-47.29,0.0,1.0,1.0
205.25,215.0,744.0,1672.0,6.9,6.94,-46.14,0.0,1.0,1.0
206.25,216.0,840.0,1684.0,7.6,7.69,-45.26,0.0,1.0,1.0
207.38,217.25,984.0,1702.0,7.73,7.91,-44.74,0.0,1.0,1.0
208.25,218.25,1080.0,1718.0,8.0,8.17,-44.21,0.0,1.0,1.0
209.25,219.5,1136.0,1738.0,7.69,7.87,-43.68,0.0,1.0,1.0
210.0,220.25,1160.0,1757.0,7.69,7.82,-43.15,0.0,1.0,1.0
210.62,221.0,1176.0,1777.0,7.82,8.0,-42.54,0.0,1.0,1.0
211.38,222.0,1176.0,1797.0,8.09,8.22,-41.92,0.0,1.0,1.0
212.0,222.5,1200.0,1817.0,8.17,8.31,-41.48,0.0,1.0,1.0
213.0,223.75,1192.0,1839.0,8.17,8.39,-41.13,0.0,1.0,1.0
214.0,224.75,1184.0,1858.0,8.04,8.22,-40.87,0.0,1.0,1.0
214.25,225.25,1184.0,1877.0,8.17,8.31,-40.69,0.0,1.0,1.0
214.75,225.75,1216.0,1896.0,8.53,8.66,-40.52,0.0,1.0,1.0
215.62,226.75,1200.0,1919.0,8.53,8.7,-40.43,0.0,1.0,1.0
216.25,227.5,1152.0,1940.0,7.91,8.17,-40.43,0.0,1.0,1.0
216.88,228.25,1104.0,1959.0,7.51,7.78,-40.43,0.0,1.0,1.0
217.88,229.25,1064.0,1976.0,7.78,8.0,-40.43,0.0,1.0,1.0
218.75,230.25,1040.0,1994.0,7.91,8.09,-40.43,0.0,1.0,1.0
219.62,231.25,1024.0,2012.0,7.95,8.17,-40.34,0.0,1.0,1.0
220.88,232.75,1016.0,2031.0,7.73,7.95,-40.34,0.0,1.0,1.0
221.88,233.75,1000.0,2048.0,7.51,7.78,-40.43,0.0,1.0,1.0
222.88,235.0,992.0,2065.0,7.43,7.73,-40.52,0.0,1.0,1.0
224.12,236.25,992.0,2081.0,7.29,7.69,-40.61,0.0,1.0,1.0
225.12,237.5,1000.0,2098.0,7.38,7.56,-40.69,0.0,1.0,1.0
226.12,238.5,1000.0,2116.0,7.21,7.43,-40.69,0.0,1.0,1.0
227.12,239.75,1024.0,2132.0,7.08,7.25,-40.78,0.0,1.0,1.0
228.12,240.75,1064.0,2150.0,7.08,7.25,-40.96,0.0,1.0,1.0
229.25,242.0,1112.0,2167.0,6.99,7.21,-41.13,0.0,1.0,1.0
230.12,243.0,1144.0,2187.0,6.9,7.12,-41.31,0.0,1.0,1.0
231.0,243.75,1200.0,2206.0,6.68,6.86,-41.4,0.0,1.0,1.0
232.0,245.0,1224.0,2227.0,6.55,6.72,-41.48,0.0,1.0,1.0
232.88,246.0,1200.0,2249.0,6.11,6.37,-41.57,0.0,1.0,1.0
233.75,247.0,1160.0,2269.0,5.76,6.02,-41.84,0.0,1.0,1.0
234.75,248.25,1144.0,2289.0,5.76,5.98,-42.28,0.0,1.0,1.0
236.0,249.5,1120.0,2308.0,5.89,6.11,-43.07,0.0,1.0,1.0
